WorkTitle #,Word,Tag,POS
,atrocity,O,NN
,propaganda,O,NN
,.,O,.
,Later,O,NNP
,",",O,","
,however,O,RB
,",",O,","
,such,O,JJ
,reports,O,NNS
,were,O,VBD
,spread,O,VBN
,by,O,IN
,Nazi,O,NNP
,-,O,:
,organized,O,VBD
,whispering,O,JJ
,campaigns,O,NNS
,and,O,CC
,today,O,NN
,these,O,DT
,crimes,O,NNS
,are,O,VBP
,openly,O,RB
,proclaimed,O,VBN
,under,O,IN
,the,O,DT
,title,O,NN
,of,O,IN
,“,O,JJ
,measures,O,NNS
,of,O,IN
,liquidation,O,NN
,”,O,NN
,in,O,IN
,order,O,NN
,to,O,TO
,force,O,VB
,“,O,JJ
,Volksgenossen,O,NNP
,”,O,NNP
,whom,O,WP
,difficulties,O,NNS
,of,O,IN
,organization,O,NN
,made,O,VBD
,it,O,PRP
,impossible,O,JJ
,to,O,TO
,induct,O,VB
,into,O,IN
,the,O,DT
,“,O,NN
,Volksgemeinschaft,O,NNP
,”,O,NNP
,of,O,IN
,crime,O,NN
,at,O,IN
,least,O,JJS
,to,O,TO
,bear,O,VB
,the,O,DT
,onus,O,NN
,of,O,IN
,complicity,O,NN
,and,O,CC
,awareness,O,NN
,of,O,IN
,what,O,WP
,was,O,VBD
,going,O,VBG
,on,O,IN
,.,O,.
,These,O,DT
,tactics,O,NNS
,resulted,O,VBD
,in,O,IN
,a,O,DT
,victory,O,NN
,for,O,IN
,the,O,DT
,Nazis,O,NNP
,",",O,","
,as,O,IN
,the,O,DT
,Allied,O,NNP
,abandoned,O,VBD
,the,O,DT
,distinction,O,NN
,between,O,IN
,Germans,O,NNPS
,and,O,CC
,Nazis,O,NNP
,.,O,.
,In,O,IN
,order,O,NN
,to,O,TO
,appreciate,O,VB
,the,O,DT
,decisive,O,JJ
,change,O,NN
,of,O,IN
,political,O,JJ
,conditions,O,NNS
,in,O,IN
,Germany,O,NNP
,since,O,IN
,the,O,DT
,lost,O,JJ
,battle,O,NN
,of,O,IN
,Britain,O,NNP
,",",O,","
,one,O,CD
,must,O,MD
,note,O,VB
,that,O,IN
,until,O,IN
,the,O,DT
,war,O,NN
,and,O,CC
,even,O,RB
,until,O,IN
,the,O,DT
,first,O,JJ
,military,O,JJ
,defeats,O,NNS
,only,O,RB
,relatively,O,RB
,small,O,JJ
,groups,O,NNS
,of,O,IN
,active,O,JJ
,Nazis,O,NNP
,",",O,","
,among,O,IN
,whom,O,WP
,not,O,RB
,even,O,RB
,the,O,DT
,Nazi,O,JJ
,sympathizers,O,NNS
,were,O,VBD
,included,O,VBN
,",",O,","
,and,O,CC
,equally,O,RB
,small,O,JJ
,numbers,O,NNS
,of,O,IN
,active,O,JJ
,anti,O,NNS
,-,O,:
,Fascists,O,NNS
,really,O,RB
,knew,O,VBD
,what,O,WP
,was,O,VBD
,going,O,VBG
,on,O,IN
,.,O,.
,All,O,DT
,others,O,NNS
,",",O,","
,whether,O,IN
,German,O,JJ
,or,O,CC
,non,O,JJ
,-,O,:
,German,O,JJ
,",",O,","
,had,O,VBD
,the,O,DT
,natural,O,JJ
,inclination,O,NN
,to,O,TO
,believe,O,VB
,the,O,DT
,statements,O,NNS
,of,O,IN
,an,O,DT
,official,O,NN
,",",O,","
,universally,O,RB
,recognized,O,VBN
,government,O,NN
,rather,O,RB
,than,O,IN
,the,O,DT
,charges,O,NNS
,of,O,IN
,refugees,O,NNS
,",",O,","
,which,O,WDT
,",",O,","
,coming,O,VBG
,from,O,IN
,Jews,O,NNP
,or,O,CC
,Socialists,O,NNS
,",",O,","
,were,O,VBD
,suspect,O,JJ
,in,O,IN
,any,O,DT
,case,O,NN
,.,O,.
,Even,O,RB
,of,O,IN
,those,O,DT
,refugees,O,NNS
,",",O,","
,only,O,RB
,a,O,DT
,relatively,O,RB
,small,O,JJ
,proportion,O,NN
,knew,O,VBD
,the,O,DT
,full,O,JJ
,truth,O,NN
,and,O,CC
,even,O,RB
,a,O,DT
,smaller,O,JJR
,fraction,O,NN
,was,O,VBD
,prepared,O,VBN
,to,O,TO
,bear,O,VB
,the,O,DT
,odium,O,NN
,of,O,IN
,unpopularity,O,NN
,involved,O,VBN
,in,O,IN
,telling,O,VBG
,the,O,DT
,truth,O,NN
,.,O,.
,As,O,RB
,long,O,RB
,as,O,IN
,the,O,DT
,Nazis,O,NNP
,expected,O,VBD
,victory,O,NN
,",",O,","
,their,O,PRP$
,terror,O,NN
,organizations,O,NNS
,were,O,VBD
,strictly,O,RB
,isolated,O,VBN
,from,O,IN
,the,O,DT
,people,O,NNS
,and,O,CC
,",",O,","
,in,O,IN
,time,O,NN
,of,O,IN
,war,O,NN
,",",O,","
,from,O,IN
,the,O,DT
,army,O,NN
,.,O,.
,The,O,DT
,army,O,NN
,was,O,VBD
,not,O,RB
,used,O,VBN
,to,O,TO
,commit,O,VB
,atrocities,O,NNS
,and,O,CC
,SS,O,NNP
,troops,O,NNS
,were,O,VBD
,increasingly,O,RB
,recruited,O,VBN
,from,O,IN
,“,O,NNP
,qualified,O,VBD
,”,O,JJ
,circles,O,NNS
,of,O,IN
,whatever,O,WDT
,nationality,O,NN
,.,O,.
,If,O,IN
,the,O,DT
,planned,O,VBN
,New,O,NNP
,Order,O,NNP
,of,O,IN
,Europe,O,NNP
,should,O,MD
,have,O,VB
,succeeded,O,VBN
,",",O,","
,we,O,PRP
,would,O,MD
,have,O,VB
,been,O,VBN
,witnesses,O,NNS
,of,O,IN
,an,O,DT
,inter,O,NN
,-,O,:
,European,O,JJ
,organization,O,NN
,of,O,IN
,terror,O,NN
,under,O,IN
,German,O,JJ
,leadership,O,NN
,.,O,.
,The,O,DT
,terror,O,NN
,would,O,MD
,have,O,VB
,been,O,VBN
,exercised,O,VBN
,by,O,IN
,members,O,NNS
,of,O,IN
,all,O,DT
,European,O,JJ
,nationalities,O,NNS
,with,O,IN
,the,O,DT
,exception,O,NN
,of,O,IN
,Jews,O,NNP
,in,O,IN
,an,O,DT
,organization,O,NN
,graded,O,VBD
,according,O,VBG
,to,O,TO
,the,O,DT
,racial,O,JJ
,classification,O,NN
,of,O,IN
,the,O,DT
,various,O,JJ
,countries,O,NNS
,.,O,.
,The,O,DT
,German,O,JJ
,people,O,NNS
,",",O,","
,of,O,IN
,course,O,NN
,",",O,","
,would,O,MD
,not,O,RB
,have,O,VB
,been,O,VBN
,spared,O,VBN
,by,O,IN
,it,O,PRP
,.,O,.
,Himmler,O,NNP
,was,O,VBD
,always,O,RB
,of,O,IN
,the,O,DT
,opinion,O,NN
,that,O,WDT
,authority,O,NN
,in,O,IN
,Europe,O,NNP
,should,O,MD
,be,O,VB
,in,O,IN
,the,O,DT
,hands,O,NNS
,of,O,IN
,a,O,DT
,racial,O,JJ
,“,O,NN
,élite,O,NNP
,",",O,","
,”,O,NNP
,organized,O,VBN
,in,O,IN
,SS,O,NNP
,troops,O,NNS
,without,O,IN
,national,O,JJ
,ties,O,NNS
,.,O,.
,It,O,PRP
,was,O,VBD
,only,O,RB
,their,O,PRP$
,defeats,O,NNS
,which,O,WDT
,forced,O,VBD
,the,O,DT
,Nazis,O,NNPS
,to,O,TO
,abandon,O,VB
,this,O,DT
,concept,O,NN
,and,O,CC
,pretend,O,NN
,to,O,TO
,return,O,VB
,to,O,TO
,old,O,JJ
,nationalist,O,JJ
,slogans,O,NNS
,.,O,.
,The,O,DT
,active,O,JJ
,identification,O,NN
,of,O,IN
,the,O,DT
,whole,O,JJ
,German,O,JJ
,people,O,NNS
,with,O,IN
,the,O,DT
,Nazis,O,NNP
,was,O,VBD
,part,O,NN
,of,O,IN
,this,O,DT
,trend,O,NN
,.,O,.
,National,O,NNP
,Socialism,O,NNP
,’,O,NNP
,s,O,VBD
,chances,O,NNS
,of,O,IN
,organizing,O,VBG
,an,O,DT
,underground,O,JJ
,movement,O,NN
,in,O,IN
,the,O,DT
,future,O,JJ
,depend,O,NN
,on,O,IN
,no,O,DT
,one,O,NN
,’,O,VBZ
,s,O,JJ
,being,O,VBG
,able,O,JJ
,to,O,TO
,know,O,VB
,any,O,DT
,longer,O,JJR
,who,O,WP
,is,O,VBZ
,a,O,DT
,Nazi,O,JJ
,and,O,CC
,who,O,WP
,is,O,VBZ
,not,O,RB
,",",O,","
,on,O,IN
,there,O,EX
,being,O,VBG
,no,O,DT
,visible,O,JJ
,signs,O,NNS
,of,O,IN
,distinction,O,NN
,any,O,DT
,longer,O,JJR
,",",O,","
,and,O,CC
,above,O,IN
,all,O,DT
,on,O,IN
,the,O,DT
,victorious,O,JJ
,powers,O,NNS
,’,O,VBP
,being,O,VBG
,convinced,O,VBN
,that,O,IN
,there,O,EX
,really,O,RB
,are,O,VBP
,no,O,DT
,differences,O,NNS
,between,O,IN
,Germans,O,NNPS
,.,O,.
,To,O,TO
,bring,O,VB
,this,O,DT
,about,O,NN
,",",O,","
,an,O,DT
,intensified,O,JJ
,terror,O,NN
,in,O,IN
,Germany,O,NNP
,",",O,","
,which,O,WDT
,proposed,O,VBD
,to,O,TO
,leave,O,VB
,no,O,DT
,person,O,NN
,alive,O,JJ
,whose,O,WP$
,past,O,JJ
,or,O,CC
,reputation,O,NN
,proclaimed,O,VBD
,him,O,PRP
,an,O,DT
,anti,O,NN
,-,O,:
,Fascist,O,NN
,",",O,","
,was,O,VBD
,necessary,O,JJ
,.,O,.
,In,O,IN
,the,O,DT
,first,O,JJ
,years,O,NNS
,of,O,IN
,the,O,DT
,war,O,NN
,the,O,DT
,regime,O,NN
,was,O,VBD
,remarkably,O,RB
,“,O,NNP
,magnanimous,O,JJ
,”,O,NN
,to,O,TO
,its,O,PRP$
,opponents,O,NNS
,",",O,","
,provided,O,VBD
,they,O,PRP
,remained,O,VBD
,peaceful,O,JJ
,.,O,.
,Of,O,IN
,late,O,JJ
,",",O,","
,however,O,RB
,",",O,","
,countless,O,JJ
,persons,O,NNS
,have,O,VBP
,been,O,VBN
,executed,O,VBN
,even,O,RB
,though,O,IN
,",",O,","
,for,O,IN
,the,O,DT
,reason,O,NN
,that,O,IN
,for,O,IN
,years,O,NNS
,there,O,RB
,has,O,VBZ
,been,O,VBN
,no,O,DT
,freedom,O,NN
,of,O,IN
,movement,O,NN
,",",O,","
,they,O,PRP
,could,O,MD
,not,O,RB
,constitute,O,VB
,any,O,DT
,immediate,O,JJ
,danger,O,NN
,to,O,TO
,the,O,DT
,regime,O,NN
,.,O,.
,On,O,IN
,the,O,DT
,other,O,JJ
,hand,O,NN
,",",O,","
,prudently,O,RB
,foreseeing,O,VBG
,that,O,IN
,in,O,IN
,spite,O,NN
,of,O,IN
,all,O,DT
,precautionary,O,JJ
,measures,O,NNS
,the,O,DT
,Allies,O,NNS
,might,O,MD
,still,O,RB
,find,O,VB
,a,O,DT
,few,O,JJ
,hundred,O,CD
,persons,O,NNS
,in,O,IN
,each,O,DT
,city,O,NN
,with,O,IN
,an,O,DT
,irreproachable,O,JJ
,anti,O,NN
,-,O,:
,Fascist,O,NN
,record,O,NN
,—,O,NNP
,testified,O,VBD
,to,O,TO
,by,O,IN
,former,O,JJ
,war,O,NN
,prisoners,O,NNS
,or,O,CC
,foreign,O,JJ
,laborers,O,NNS
,",",O,","
,and,O,CC
,supported,O,VBN
,by,O,IN
,records,O,NNS
,of,O,IN
,imprisonment,O,NN
,or,O,CC
,concentration,O,NN
,camp,O,NN
,internment,O,NN
,—,O,VBD
,the,O,DT
,Nazis,O,NNPS
,have,O,VBP
,already,O,RB
,provided,O,VBN
,their,O,PRP$
,own,O,JJ
,trusted,O,VBN
,cohorts,O,NNS
,with,O,IN
,similar,O,JJ
,documentation,O,NN
,and,O,CC
,testimony,O,NN
,",",O,","
,making,O,VBG
,these,O,DT
,criteria,O,NNS
,worthless,O,NN
,.,O,.
,Thus,O,RB
,in,O,IN
,the,O,DT
,case,O,NN
,of,O,IN
,inmates,O,NNS
,of,O,IN
,concentration,O,NN
,camps,O,NNS
,(,O,(
,whose,O,WP$
,number,O,NN
,nobody,O,NN
,knows,O,VBZ
,precisely,O,RB
,",",O,","
,but,O,CC
,which,O,WDT
,is,O,VBZ
,estimated,O,VBN
,at,O,IN
,several,O,JJ
,million,O,CD
,),O,)
,",",O,","
,the,O,DT
,Nazis,O,NNP
,can,O,MD
,safely,O,RB
,either,O,VB
,liquidate,O,VB
,them,O,PRP
,or,O,CC
,let,O,VB
,them,O,PRP
,escape,O,VB
,:,O,:
,in,O,IN
,the,O,DT
,improbable,O,JJ
,event,O,NN
,of,O,IN
,their,O,PRP$
,survival,O,NN
,(,O,(
,a,O,DT
,massacre,O,NN
,of,O,IN
,the,O,DT
,type,O,NN
,which,O,WDT
,occurred,O,VBD
,in,O,IN
,Buchenwald,O,NNP
,is,O,VBZ
,not,O,RB
,even,O,RB
,punishable,O,JJ
,under,O,IN
,the,O,DT
,war,O,NN
,crimes,O,NNS
,provisions,O,NNS
,),O,)
,—,O,VBP
,it,O,PRP
,will,O,MD
,not,O,RB
,be,O,VB
,possible,O,JJ
,to,O,TO
,identify,O,VB
,them,O,PRP
,unmistakably,O,RB
,.,O,.
,Whether,O,NNP
,any,O,DT
,person,O,NN
,in,O,IN
,Germany,O,NNP
,is,O,VBZ
,a,O,DT
,Nazi,O,NNP
,or,O,CC
,an,O,DT
,anti,O,JJ
,-,O,:
,Nazi,O,NN
,can,O,MD
,be,O,VB
,determined,O,VBN
,only,O,RB
,by,O,IN
,the,O,DT
,One,O,NN
,who,O,WP
,knows,O,VBZ
,the,O,DT
,secrets,O,NNS
,of,O,IN
,the,O,DT
,human,O,JJ
,heart,O,NN
,",",O,","
,which,O,WDT
,no,O,DT
,human,O,JJ
,eye,O,NN
,can,O,MD
,penetrate,O,VB
,.,O,.
,Those,O,DT
,",",O,","
,at,O,IN
,any,O,DT
,rate,O,NN
,",",O,","
,those,O,DT
,who,O,WP
,actively,O,RB
,organize,O,VBP
,an,O,DT
,anti,O,JJ
,-,O,:
,Nazi,O,JJ
,underground,O,JJ
,movement,O,NN
,in,O,IN
,Germany,O,NNP
,today,O,NN
,—,O,NNP
,and,O,CC
,there,O,EX
,are,O,VBP
,such,O,JJ
,persons,O,NNS
,in,O,IN
,Germany,O,NNP
,",",O,","
,of,O,IN
,course,O,NN
,—,O,NNP
,would,O,MD
,meet,O,VB
,a,O,DT
,speedy,O,NN
,death,O,NN
,if,O,IN
,they,O,PRP
,failed,O,VBD
,to,O,TO
,act,O,VB
,and,O,CC
,talk,O,VB
,precisely,O,RB
,like,O,IN
,Nazis,O,NNP
,.,O,.
,In,O,IN
,a,O,DT
,country,O,NN
,where,O,WRB
,a,O,DT
,person,O,NN
,attracts,O,VBZ
,immediate,O,JJ
,attention,O,NN
,by,O,IN
,failing,O,VBG
,either,O,CC
,to,O,TO
,murder,O,VB
,upon,O,JJ
,command,O,NN
,or,O,CC
,to,O,TO
,be,O,VB
,a,O,DT
,ready,O,JJ
,accomplice,O,NN
,of,O,IN
,murderers,O,NNS
,",",O,","
,this,O,DT
,is,O,VBZ
,no,O,DT
,light,O,JJ
,task,O,NN
,.,O,.
,The,O,DT
,most,O,RBS
,extreme,O,JJ
,slogan,O,NN
,which,O,WDT
,this,O,DT
,war,O,NN
,has,O,VBZ
,evoked,O,VBN
,among,O,IN
,the,O,DT
,Allies,O,NNS
,",",O,","
,that,O,IN
,the,O,DT
,only,O,JJ
,“,O,NN
,good,O,JJ
,German,O,JJ
,”,O,NN
,is,O,VBZ
,a,O,DT
,“,O,JJ
,dead,O,JJ
,German,O,NNP
,",",O,","
,”,O,NNP
,has,O,VBZ
,this,O,DT
,much,O,JJ
,basis,O,NN
,in,O,IN
,fact,O,NN
,:,O,:
,the,O,DT
,only,O,JJ
,way,O,NN
,in,O,IN
,which,O,WDT
,we,O,PRP
,can,O,MD
,identify,O,VB
,an,O,DT
,anti,O,JJ
,-,O,:
,Nazi,O,NN
,is,O,VBZ
,when,O,WRB
,the,O,DT
,Nazis,O,NNP
,have,O,VBP
,hanged,O,VBN
,him,O,PRP
,.,O,.
,There,O,EX
,is,O,VBZ
,no,O,DT
,other,O,JJ
,reliable,O,JJ
,token,O,NN
,.,O,.
,II,O,NNP
,These,O,DT
,are,O,VBP
,the,O,DT
,real,O,JJ
,political,O,JJ
,conditions,O,NNS
,which,O,WDT
,underlie,O,VBP
,the,O,DT
,charge,O,NN
,of,O,IN
,the,O,DT
,collective,O,JJ
,guilt,O,NN
,of,O,IN
,the,O,DT
,German,O,JJ
,people,O,NNS
,.,O,.
,They,O,PRP
,are,O,VBP
,the,O,DT
,consequences,O,NNS
,of,O,IN
,a,O,DT
,policy,O,NN
,which,O,WDT
,",",O,","
,in,O,IN
,the,O,DT
,deepest,O,JJS
,sense,O,NN
,",",O,","
,is,O,VBZ
,a,O,DT
,-,O,:
,and,O,CC
,anti,O,VB
,-,O,:
,national,O,JJ
,;,O,:
,which,O,WDT
,is,O,VBZ
,utterly,O,RB
,determined,O,VBN
,that,O,IN
,there,O,EX
,shall,O,MD
,be,O,VB
,a,O,DT
,German,O,JJ
,people,O,NNS
,only,O,RB
,if,O,IN
,it,O,PRP
,is,O,VBZ
,in,O,IN
,the,O,DT
,power,O,NN
,of,O,IN
,its,O,PRP$
,present,O,JJ
,rulers,O,NNS
,;,O,:
,and,O,CC
,which,O,WDT
,will,O,MD
,rejoice,O,VB
,as,O,RB
,at,O,IN
,its,O,PRP$
,greatest,O,JJS
,victory,O,NN
,if,O,IN
,the,O,DT
,defeat,O,NN
,of,O,IN
,the,O,DT
,Nazis,O,NNP
,involves,O,VBZ
,with,O,IN
,it,O,PRP
,the,O,DT
,physical,O,JJ
,destruction,O,NN
,of,O,IN
,the,O,DT
,German,O,JJ
,people,O,NNS
,.,O,.
,The,O,DT
,totalitarian,O,JJ
,policy,O,NN
,",",O,","
,which,O,WDT
,has,O,VBZ
,completely,O,RB
,destroyed,O,VBN
,the,O,DT
,neutral,O,JJ
,zone,O,NN
,in,O,IN
,which,O,WDT
,the,O,DT
,daily,O,JJ
,life,O,NN
,of,O,IN
,human,O,JJ
,beings,O,NNS
,is,O,VBZ
,ordinarily,O,RB
,lived,O,VBN
,",",O,","
,has,O,VBZ
,achieved,O,VBN
,the,O,DT
,result,O,NN
,of,O,IN
,making,O,VBG
,the,O,DT
,existence,O,NN
,of,O,IN
,each,O,DT
,individual,O,NN
,in,O,IN
,Germany,O,NNP
,depend,O,VBP
,either,O,DT
,upon,O,IN
,committing,O,VBG
,crimes,O,NNS
,or,O,CC
,on,O,IN
,complicity,O,NN
,in,O,IN
,crimes,O,NNS
,.,O,.
,The,O,DT
,success,O,NN
,of,O,IN
,Nazi,O,JJ
,propaganda,O,NN
,in,O,IN
,Allied,O,NNP
,countries,O,NNS
,",",O,","
,as,O,IN
,expressed,O,VBN
,in,O,IN
,the,O,DT
,attitude,O,NN
,commonly,O,RB
,called,O,VBD
,Vansittartism,B-PER,NNP
,",",O,","
,is,O,VBZ
,a,O,DT
,secondary,O,JJ
,matter,O,NN
,in,O,IN
,comparison,O,NN
,.,O,.
,It,O,PRP
,is,O,VBZ
,a,O,DT
,product,O,NN
,of,O,IN
,general,O,JJ
,war,O,NN
,propaganda,O,NN
,",",O,","
,and,O,CC
,something,O,NN
,quite,O,RB
,apart,O,RB
,from,O,IN
,the,O,DT
,specific,O,JJ
,modern,O,JJ
,political,O,JJ
,phenomenon,O,NN
,described,O,VBN
,above,O,IN
,.,O,.
,All,O,PDT
,the,O,DT
,documents,O,NNS
,and,O,CC
,pseudo,O,JJ
,-,O,:
,historical,O,JJ
,demonstrations,O,NNS
,of,O,IN
,this,O,DT
,tendency,O,NN
,sound,O,NN
,like,O,IN
,relatively,O,RB
,innocent,O,JJ
,plagiarism,O,NN
,of,O,IN
,the,O,DT
,French,O,JJ
,literature,O,NN
,of,O,IN
,the,O,DT
,last,O,JJ
,war,O,NN
,—,O,NN
,and,O,CC
,it,O,PRP
,makes,O,VBZ
,no,O,DT
,essential,O,JJ
,difference,O,NN
,that,O,IN
,a,O,DT
,few,O,JJ
,of,O,IN
,those,O,DT
,writers,O,NNS
,who,O,WP
,twenty,O,VBP
,-,O,:
,five,O,CD
,years,O,NNS
,ago,O,RB
,kept,O,VBD
,the,O,DT
,presses,O,NNS
,rolling,O,VBG
,with,O,IN
,their,O,PRP$
,attacks,O,NNS
,on,O,IN
,“,O,NNP
,perfidious,O,JJ
,Albion,O,NNP
,”,O,NNS
,have,O,VBP
,now,O,RB
,placed,O,VBN
,their,O,PRP$
,experience,O,NN
,at,O,IN
,the,O,DT
,Allies,O,NNP
,’,O,NNP
,disposal,O,NN
,.,O,.
,But,O,CC
,even,O,RB
,the,O,DT
,best,O,JJS
,-,O,:
,intended,O,VBN
,discussions,O,NNS
,between,O,IN
,the,O,DT
,defenders,O,NNS
,of,O,IN
,the,O,DT
,“,O,NNP
,good,O,JJ
,Germans,O,NNPS
,”,O,NNS
,and,O,CC
,the,O,DT
,accusers,O,NNS
,of,O,IN
,the,O,DT
,“,O,NNP
,bad,O,JJ
,”,O,NNP
,not,O,RB
,only,O,RB
,miss,O,VB
,the,O,DT
,essence,O,NN
,of,O,IN
,the,O,DT
,question,O,NN
,",",O,","
,but,O,CC
,also,O,RB
,plainly,O,RB
,fail,O,VBP
,to,O,TO
,apprehend,O,VB
,the,O,DT
,magnitude,O,NN
,of,O,IN
,the,O,DT
,catastrophe,O,NN
,.,O,.
,Either,O,CC
,they,O,PRP
,are,O,VBP
,betrayed,O,VBN
,into,O,IN
,trivial,O,JJ
,general,O,JJ
,comments,O,NNS
,on,O,IN
,good,O,JJ
